wallet,vendor,category,category_commentary,pqc_stance,pqc_stance_commentary,crypto_agility,crypto_agility_commentary,protocol_pqc,protocol_pqc_commentary,contract_pqc_support,contract_pqc_support_commentary,offchain_pqc,offchain_pqc_commentary,date_last_updated,audit,report
Polkadot{.js},Parity Technologies,,Apache-2.0 reference Substrate signer; de-emphasized in favor of Talisman/SubWallet/Polkagate/Fearless for end users,,,,,,,,Polkadot ML-DSA pallet on Web3 Foundation roadmap; reference Substrate signer would inherit pallet support but no in-flight wallet PR located,,,,,
Yoroi,EMURGO,,EMURGO-built Cardano wallet; Apache-2.0 monorepo + MIT extension,,,,,,,,,,,,,
Xverse,Secret Key Labs,,Bitcoin + Stacks; proprietary source-available license with 1000 MAU non-commercial cap,,,,Proprietary license forecloses community-fork PQC path,,,,"Bitcoin BIP-360 P2MR on watch list; Xverse positioned as Ordinals/Stacks wallet has tracked BIP-360 publicly, no shipping integration yet",,,,,
Argent,Argent Labs / Ready,,"Rebrand to ""Ready"" Feb 2025; Starknet-exclusive",,,,SignerSignature enum supports 4 schemes (Stark-ECDSA / secp256k1 / secp256r1 / WebAuthn),,,,,,,,,
Ctrl,Ctrl (formerly XDEFI),,Rebrand of XDEFI Wallet (Jul 2024); closed source w/ social-login MPC overlay,,,,,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Martian,Pontem Network,,Aptos + Sui wallet; acquired by Pontem May 2025 (Race/Jump/Animoca-backed),,No engagement with Aptos AIP-137 located,,Closed source clients,,,,,,,,,
SubWallet,Koni Studio,,Most-used daily-driver Polkadot wallet; Apache-2.0,,,,,,,,Polkadot ML-DSA pallet on Web3 Foundation roadmap; SubWallet would inherit pallet support but no in-flight wallet PR located,,,,,
Bybit Web3,Bybit,,Exchange-attached non-custodial; Cloud + Keyless discontinued 2025-05-31 post-$1.5B hack,,,,BIP-39 seed only after Keyless discontinuation,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Magic Eden Wallet,Magic Eden / Exodus Movement,,Co-built with Exodus Movement; BTC + all EVM sunset Apr 2026; now Solana-only,,,,,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Exodus,Exodus Movement (NYSE: EXOD),,Multi-chain desktop-first since 2015; NYSE-listed public company,,Quantum on Exodus Movement 10-K risk register; boilerplate language only,,Closed source,,Algorand support is Ed25519 only; no Falcon signing path,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Leo Wallet,Provable (formerly Demox Labs),,Aleo wallet; multi-SKU (Leo + Shield successor),,,,,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
SafePal,SafePal,,"4-SKU vendor: X1 (BLE+USB-C), S1 (air-gapped QR), S1 Pro (air-gapped QR, EAL6+), Cypher (backup card)",,,,Silicon-locked sig schemes; no firmware path to add ML-DSA/SLH-DSA,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
HashPack,HashPack,,Dominant Hedera wallet (>90% MAU),,Hedera chain-side stance described as opportunistic; HashPack-side silent on PQC despite Hedera roadmap framing,,Closed clients,,,,,,,,,
Zerion,Zerion (SF),,EVM-only multi-chain w/ Solana + TRON; GPL-3.0/Apache-2.0/LGPL-3.0 across components,,,,No plugin path; 2022 Smart & Social was UX framing not SC architecture,,,,"EVM-only; ERC-4337 / EIP-7702 verifier path is the route, Zerion has tracked PQC publicly but no shipping integration",,,,,
Coin98,Coin98 Finance,,Multi-chain catch-all (150+ claimed; ~40 first-party native),,,,Closed source,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Nightly,Nightly Labs,,Polish multi-VM wallet covering ~105+ chains (Solana/Aptos/Sui/NEAR/Aleph Zero/Bitcoin/EVM/Polkadot),,,,Closed clients; Nightly Connect protocol is dapp connector not signer plugin,,,,Multi-VM (Solana / Aptos / Sui / NEAR / Aleph Zero / Bitcoin / EVM / Polkadot); Aleph Zero Liminal PQC research line + Aptos AIP-137 chain-side; Nightly tracking multiple chains but no shipping PQC integration,,,,,
Talisman,Talisman,,Polkadot ecosystem (Melbourne); GPL-3.0; best-documented audit history of Polkadot wallets (4 published),,DeFAI/SEEK roadmap is AI-shaped not PQC-shaped,,,,,,Polkadot ML-DSA pallet on Web3 Foundation roadmap; Talisman would inherit pallet support but no in-flight wallet PR located,,,,,
Sender,Sender Labs (Singapore),,NEAR + Aurora + 10 EVM chains,,NEAR chain has FIPS-204/ML-DSA testnet target end Q2 2026 + wallet-builder collaboration; Sender-side no confirmation,,Closed source,,,,NEAR FIPS-204/ML-DSA testnet target end Q2 2026 + Near One wallet-builder collaboration; Sender-side committed to track but no shipping integration,,,,,
Eternl,TastenKunst,,Cardano-only; closed wallet binary + Apache-2.0/MIT auxiliary tools,,,,Closed wallet binary,,,,,,,,,
Crypto.com Onchain,Foris DAX,,Crypto.com non-custodial (rebrand of DeFi Wallet),,,,Closed,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Leather,Trust Machines,,Bitcoin + Stacks (Hiro Wallet rebrand Aug 2023); MIT monorepo; public HackerOne bounty,,No BIP-360 engagement located,,MIT but no plugin architecture,,,,Bitcoin BIP-360 P2MR + Stacks Clarity PQC verifier on watch list; Leather (Hiro lineage) tracking BIP-360 but no shipping integration,,,,,
Lace,IOG,,"IOG first-party Cardano+BTC wallet (Apache-2.0); absorbed Nami Nov 2023, Nami Mode Dec 2024",,IOG controls Cardano PQC roadmap (CIP-1144/1175/441) but Lace-specific commitment absent,,,,,,,,,,,
Gate Web3,Gate.com,,Gate.com Web3 non-custodial; sibling Gate Vault is 2-of-3 MPC-TSS,,,,Closed,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
MultiversX Wallet,MultiversX,,"5 SKUs: xPortal (mobile super-app), Web Wallet, DeFi Wallet extension, xAlias OAuth, Ledger MultiversX app",,,,Closed wallet binary; sdk-js-wallet MIT separately,,,,MultiversX Spica opcodes (PQC verification primitives) on roadmap; wallet would inherit but no shipping integration yet,,,,,
MyTonWallet,Anyway Labs,,TON-primary multi-chain (GPL-3.0); recently expanded to 11 chains,,,,Ships standard contracts only; new EVM chains plain EOAs,,,,TON w5 wallet contract + PQC extension on TON roadmap; MyTonWallet tracking but no shipping integration,,,,,
Core,Ava Labs,,Avalanche chain-vendor wallet; Limited Ecosystem License (10K MAU cap),,,,License + no plugin path; CubeSigner remote HSM seedless mode is classical on-chain,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Math Wallet,Math Global Foundation,,Multi-chain breadth wallet (228+ chains claimed),,,,Closed source,,Algorand support (per 228+ chains breadth) signs Ed25519 only; no Falcon path,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Plug,Psychedelic,,ICP-only browser extension; GPL-3.0,,DFINITY has Dec 2025 PQC canister-developer RFP; Plug-side no commitment,,No plugin path,,,,,,,,,
Alby,Alby,,Bitcoin + Lightning + Nostr,,,,,,,,,,,,,
OneKey,OneKey,,"7-SKU vendor: Lite (NFC), Touch, Pro (flagship 4xEAL6+ SE), KeyTag (backup), Mini, Classic 1S, Classic",,"Nov 2025 blog: ""ML-KEM for key agreement, ML-DSA for signatures, stronger hash""",,Vendor commitment but no shipping date; existing firmware silicon-locked,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Wombat,Spielworks (Berlin),,Gaming wallet (Antelope + EVM); encrypted Google Drive/Dropbox key backup in lieu of seed phrases,,,,,,,,,,,,,
Meteor,Meteor Wallet,,NEAR-purist (sharper than Sender; bridge-only to EVM not native),,,,Closed wallet client,,,,NEAR FIPS-204/ML-DSA testnet target end Q2 2026 + Near One wallet-builder collaboration; Meteor-side tracking but no shipping integration,,,,,
Wizz,AstroX,,"Bitcoin Atomicals/ARC-20 client (rebrand of AstroX ""Atom Wallet"")",,,,Closed; cited public repo empty,,,,,,,,,
Freighter,Stellar Development Foundation,,SDF first-party Stellar wallet; Apache-2.0,,SDF Protocol 25 cryptographic focus is ZK (BN254/Poseidon/Groth16) not PQC,,No plugin path,,,,,,,,,
NuFi,Vacuumlabs spin-out,,Cardano + Solana + Flow + Ethereum (AdaLite lineage); 6 hardware integrations (most of any wallet); 11-OAuth Web3Auth social login,,,,Closed wallet binary; SDK OSS,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Typhon,Strica Pte Ltd,,Cardano wallet; closed binary + Apache-2.0 Strica SDKs (also used by Ledger Live Cardano - propagation lever),,,,Closed wallet binary,,,,,,,,,
VESPR,DigitalBlock Labs (UK),,Cardano wallet; Flutter/Dart with own MIT cardano_dart_sdk - second Cardano codebase NOT using EMURGO CSL,,,,Non-commercial source-available app shell,,,,,,,,,
Keeper Wallet,Keeper Wallet,,Waves-only; MIT extension; mobile signing provider archived Aug 2025,,,,,,,,Waves Foundation cryptographic agility research line; Keeper-side tracking but no shipping integration,,,,,
VeWorld,VeChain Foundation,,Active VeChain Foundation wallet (MIT mobile); first Foundation wallet to expose AA-flavored UX (Privy passkey embedded smart-account),,Hayabusa hard fork (2025-12-02) explicitly does not contain PQC component,,Privy passkey embedded smart-account; classical secp256k1 settle,,,,VeChain Foundation has discussed PQC publicly (Hayabusa fork explicitly did not include PQC component); VeWorld tracking but no shipping integration,,,,,
Gero,A.D. Labs,,Cardano wallet; post-Aug-2024 rebuild; Catalyst F13 Apache-2.0 release slipping past Mar 2026 milestone,,,,Closed today (F13 OSS slipping),,,,,,,,,
Bitmask,DIBA,,Bitcoin + RGB + Lightning,,,,,,,,,,,,,
Fin,Coin98 / Ninety Eight,,Sei wallet by Coin98 (not Leap); ~21 months stale (v2.0.8 Aug 2024),,,,Closed,,,,,,,,,
Flow Wallet,Outblock / Flow Foundation,,First-party Flow wallet (formerly Lilico/Flow Core); MIT iOS/Android/Chrome,,No Flow Foundation PQC statement located,,Flow's algorithm-tagged multi-key registry is the architectural slot; wallet surfaces multi-key but no PQC algorithm ID slotted in,,,,,,,,,
Suku,Citizens Reserve,,Twitter/X-handle browser extension; Gnosis Safe smart-account architecture,,,,Single signer,,,,Twitter/X handle wallet on Gnosis Safe smart-account architecture; Safe ecosystem P-256 verifier slot would host PQC verifier but no Suku-specific shipping integration,,,,,
Fox Wallet,Fox Wallet,,"Multi-chain (BTC/ETH/SOL/Aptos/Sui/Aleo); MIT extension Aleo+EVM only, closed mobile flagship",,,,Closed mobile flagship,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Nabox,Nabox,,NULS-primary multi-chain via NerveBridge,,,,No LICENSE declared; public client repos diverged from binary (last commit 2024-01-24),,,,,,,,,
LOBSTR,Ultra Stellar,,Stellar + XRPL multi-chain; main wallet closed; LOBSTR Vault GPL-3.0 + Tangem Vault Signer Card hardware co-signer,,,,Closed main wallet binary,,,,,,,,,
Internet Money,Decentralized Innovations LLC,,"PulseChain-primary; anonymous team; ""open source"" GitLab claim unverified (repos empty)",,,,Closed; anonymous team,,,,,,,,,
Glass Wallet,Movebase Labs,,Sui-only; opaque studio; Chrome ext dormant since May 2023 but iOS/Android may be active,,,,Closed,,,,,,,,,
Fearless,Soramitsu,,Polkadot ecosystem wallet by Soramitsu (Japan); Apache-2.0 mobile,,Soramitsu CBDC pedigree (Bakong / NBC) but no Fearless-side commitment,,,,,,Polkadot ML-DSA pallet on Web3 Foundation roadmap; Fearless would inherit pallet support but no in-flight wallet PR located,,,,,
Pali,Pollum / Syscoin Foundation,,Official Syscoin wallet; MIT; UTXO+EVM hybrid (Syscoin + Rollux + Bitcoin + Ethereum),,"Syscoin's ""quantum-safe BitcoinDA"" is DA hash not wallet-signature PQC",,MIT but explicit anti-MPC framing; EOA-only,,,,,,,,,
Klever,Klever (Brazil),,TronWallet rebrand Aug 2020; KleverSafe hardware + in-house KleverChain L1 (mainnet 2022),,,,Closed wallet binary; kos-rs Apache-2.0/MIT,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Tomo,Tomo Inc.,,Polychain-seeded ($3.5M); migrated from MPC+Shamir to Cubist CubeSigner (TEE+HSM) Aug 2024,,,,Passkey gates CubeSigner only - NOT on-chain authority; chain key is CubeSigner-held secp256k1,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Concordium Wallet,Concordium Foundation,,Identity-bound L1; Apache-2.0,,,,No plugin signer architecture,,,,,,,,,
Nest Wallet,Nest Technologies HK,,Trader-focused EVM+Sol+TON+Hyperliquid; Safe{Wallet} hackathon winner,,,,Frontend public but no LICENSE,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Zeal,GRWTH LBS LTD,,"EVM-only smart-account-by-default; ex-Revolut VP Hannes Graah, Gnosis-backed",,,,Safe 1.4.1 + on-chain P-256 passkey validator default - production pluggable validator slot (swap-the-Safe-owner = swap-the-sig-scheme),,,,,,,,,
Polkagate,PolkaGate,,"Polkadot ecosystem; deepest in-wallet governance UX (OpenGov, conviction, delegations)",,,,,,,,Polkadot ML-DSA pallet on Web3 Foundation roadmap; Polkagate would inherit pallet support but no in-flight wallet PR located,,,,,
Newmoney.AI,Rad Studio Holding,,"""AI"" = Newton conversational agent over WhatsApp/Telegram/Discord/SMS (not agents-hold-keys); ~2K Chrome installs",,,,Closed; MPC vendor undisclosed,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Kabila,Soluciones Web3 (Spain),,Hedera wallet smaller than HashPack,,,,Closed,,,,,,,,,
WellDone Wallet,DSRV Labs,,Multi-VM developer wallet; WELLDONE Code Remix plugin is distinctive; drifting (Chrome ext last updated May 2024),,zkWallet repo is ZK experiment NOT post-quantum (commonly conflated),,Closed wallet binary,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Noone,Raias LLC + NO ONE FZCO,,Mobile-only multi-chain; white-label B2B is dominant product (consumer app is showcase),,SEO stub pages claim QRL/EUQ/USQ/INQ support but are template marketing NOT actual XMSS engagement,,Closed; not source-available per WalletScrutiny despite open-source-core marketing,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Begin,FluidTokens x IAMX,,Multi-chain: BTC + Cardano + Solana (FluidTokens x IAMX collab); commonly miscategorized as Algorand,,,,Modular OSS at crypto seam but UI closed,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
MPCVault,MPCVault,,3-of-3 MPC-TSS (1 user device + 2 vendor TEEs in Azure SGX + GCP SEV); TSS protocol identity undisclosed,,,,Closed signer; only mpcvaultapis Apache-2.0,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Cashtab,Bitcoin ABC,,eCash (XEC) wallet; MIT in Bitcoin-ABC monorepo,,,,MIT but no plugin architecture,,,,,,,,,
Freewallet Web3,FRWLT LLC,,FRWT non-custodial Web3 branch (distinct from custodial app suite),,,,Closed,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
DIDWallet,ArcBlock,,DID identity wallet (powered by ArcBlock); covers did:abt + Ethereum/BNB/Base,,"Aug 2025 ""Quantum-Safe Encryption Implementation"" announcement resolved to SHA2/SHA3 hashing addition; not PQC signatures",,Closed,,,,,,,,,
